Id,Nombre,Género,Edad,Promedio_Notas,Asistencia_Clases_pct,TP_Entregados_pct,Trabaja,Tipo_Educacion,Año_Cursado,Materias_Aprobadas_Promedio,Demora_Traslado_min,Nivel_Asistencia,Regular,Indice_Compromiso,Categoria_Riesgo
1,Alejandro Cabrera,Masculino,24,5.14,87.2,94.7,No,Privada,1,5,110,Alta,Sí,9.1,Sin riesgo
2,Elena Ramírez,Femenino,21,7.49,90.3,50.5,Sí,Pública,6,3,26,Alta,No,7.04,Sin riesgo
3,Valentín Rodríguez,Masculino,30,5.23,63.6,90.1,Sí,Pública,1,1,116,Baja,No,7.68,Alto riesgo
4,Rafael Morales,Masculino,28,7.12,73.6,49.0,No,Pública,6,1,103,Baja,No,6.13,Sin riesgo
5,Alejandro López,Masculino,25,4.44,85.1,79.5,No,Pública,5,6,107,Alta,Sí,8.23,Sin riesgo
6,Hernán Romero,Masculino,30,7.63,72.0,49.0,No,Pública,5,3,87,Baja,No,6.05,Sin riesgo
7,Pablo Sánchez,Masculino,22,7.1,55.6,95.4,No,Privada,1,0,115,Baja,No,7.55,Sin riesgo
8,Elena Muñoz,Femenino,24,8.44,85.3,73.9,No,Privada,3,6,16,Alta,Sí,7.96,Sin riesgo
9,Aldana Ramos,Femenino,27,7.78,95.6,59.8,Sí,Privada,2,3,102,Alta,No,7.77,Sin riesgo
10,Víctor Jiménez,Masculino,20,7.3,82.6,48.4,No,Privada,5,5,66,Alta,No,6.55,Sin riesgo
11,Tomás Morales,Masculino,24,8.14,88.7,62.3,No,Pública,2,3,49,Alta,No,7.55,Sin riesgo
12,Florencia González,Femenino,28,4.86,67.9,82.3,Sí,Pública,2,1,62,Baja,No,7.51,Alto riesgo
13,Víctor Rivera,Masculino,28,7.57,59.2,63.1,Sí,Pública,1,4,24,Baja,No,6.12,Sin riesgo
14,Carlos Díaz,Masculino,18,5.03,82.1,54.8,No,Pública,6,6,55,Alta,No,6.84,Sin riesgo
15,Lucas Ramos,Masculino,22,9.55,66.4,74.6,No,Pública,2,0,11,Baja,No,7.05,Sin riesgo
16,Paula Torres,Femenino,21,4.41,93.0,65.1,Sí,Pública,4,5,28,Alta,No,7.9,Sin riesgo
17,Valentín Muñoz,Masculino,25,6.58,56.1,49.9,Sí,Privada,3,1,71,Baja,No,5.3,Riesgo moderado
18,Emilio Díaz,Masculino,25,8.17,71.7,49.2,Sí,Pública,3,2,74,Baja,No,6.04,Sin riesgo
19,Pablo Flores,Masculino,20,6.75,69.8,82.4,Sí,Pública,1,2,101,Baja,No,7.61,Riesgo moderado
20,Natalia Sánchez,Femenino,23,4.55,96.9,98.5,No,Privada,4,5,57,Alta,Sí,9.77,Sin riesgo
21,Andrés Aguilar,Masculino,22,7.32,57.7,54.0,No,Pública,6,3,38,Baja,No,5.58,Sin riesgo
22,Víctor Flores,No informado,19,7.85,50.5,86.4,No,Pública,4,3,37,Baja,No,6.85,Sin riesgo
23,César Ramírez,Masculino,25,8.22,61.9,45.3,No,Privada,3,5,97,Baja,No,5.36,Sin riesgo
24,Marcos Torres,Masculino,29,6.24,91.0,62.9,No,Pública,4,0,27,Alta,No,7.7,Sin riesgo
25,Romina Navarro,Femenino,23,7.38,60.5,70.4,No,Privada,6,1,62,Baja,No,6.54,Sin riesgo
26,Clara Gómez,Femenino,19,6.7,62.0,56.1,No,Pública,5,0,72,Baja,No,5.9,Riesgo moderado
27,Daniela Aguilar,Femenino,29,8.03,56.5,71.8,No,Privada,1,4,73,Baja,No,6.42,Sin riesgo
28,Valentina Suárez,Femenino,22,7.5,20.7,93.0,No,Privada,2,3,102,Baja,No,5.68,Sin riesgo
29,Rodrigo Medina,Masculino,18,7.15,53.5,96.7,No,Privada,3,5,84,Baja,No,7.51,Sin riesgo
30,Pablo Cabrera,Masculino,29,5.5,66.6,46.0,No,Pública,3,3,44,Baja,No,5.63,Alto riesgo
31,Felipe Muñoz,Masculino,27,4.01,64.1,56.3,Sí,Pública,6,1,51,Baja,No,6.02,Alto riesgo
32,Florencia Suárez,Femenino,23,5.04,77.8,98.7,Sí,Pública,4,5,47,Alta,Sí,8.82,Riesgo moderado
33,Sebastián Rivera,Masculino,30,4.7,86.5,56.2,No,Pública,6,2,65,Alta,No,7.14,Sin riesgo
34,Hernán Navarro,Masculino,29,6.69,76.6,81.6,No,Pública,1,6,46,Alta,Sí,7.91,Riesgo moderado
35,Agustín Rivera,Masculino,26,7.67,96.6,55.2,No,Privada,3,2,66,Alta,No,7.59,Sin riesgo
36,Florencia López,Femenino,18,5.28,97.6,61.4,No,Pública,3,1,71,Alta,No,7.95,Sin riesgo
37,Emilio Vargas,Masculino,28,9.63,68.1,51.5,Sí,Privada,3,3,59,Baja,No,5.98,Sin riesgo
38,Daniela Medina,Femenino,28,4.04,88.9,91.4,No,Pública,6,0,111,Alta,Sí,9.02,Sin riesgo
39,Julia Vega,Femenino,27,8.63,86.9,93.0,No,Privada,6,0,53,Alta,Sí,9.0,Sin riesgo
40,Carolina Torres,Femenino,29,7.75,94.6,57.8,Sí,Privada,4,3,110,Alta,No,7.62,Sin riesgo
41,Hernán Cabrera,Masculino,24,6.24,72.4,89.4,No,Pública,5,1,53,Baja,No,8.09,Riesgo moderado
42,Valeria Vargas,No informado,20,4.3,76.5,61.5,No,Privada,3,0,82,Alta,No,6.9,Riesgo moderado
43,Diana Vargas,Femenino,29,7.76,70.8,45.9,Sí,Pública,5,2,37,Baja,No,5.83,Sin riesgo
44,Jimena Ramírez,Femenino,24,6.31,92.5,85.5,No,Pública,6,3,32,Alta,Sí,8.9,Sin riesgo
45,Nicolás Álvarez,Masculino,21,9.62,61.5,75.8,No,Privada,4,2,61,Baja,No,6.86,Sin riesgo
46,Víctor Martínez,Masculino,26,7.25,24.9,56.5,No,Pública,6,1,45,Baja,No,4.07,Sin riesgo
47,Eduardo Medina,Masculino,20,9.64,29.3,55.2,No,Pública,1,3,83,Baja,No,4.22,Sin riesgo
48,Agustín Aguilar,Masculino,22,5.32,61.5,98.5,No,Privada,2,4,8,Baja,No,8.0,Alto riesgo
49,Paula López,Femenino,20,8.35,78.1,91.8,No,Pública,2,4,24,Alta,Sí,8.49,Sin riesgo
50,Julia Herrera,Femenino,24,7.7,56.7,88.6,No,Privada,6,2,93,Baja,No,7.26,Sin riesgo
51,María Torres,Femenino,22,8.44,66.0,47.7,No,Privada,2,1,39,Baja,No,5.68,Sin riesgo
52,Sebastián Cabrera,Masculino,26,5.29,95.7,85.3,No,Privada,2,3,120,Alta,Sí,9.05,Sin riesgo
